symbol,open_time,open,high,low,close,volume
SUIUSDT,2024-06-30 00:00:00,0.7825,0.7888,0.7807,0.7863,681570.2
SUIUSDT,2024-06-30 01:00:00,0.7863,0.7881,0.7771,0.7803,779337.6
SUIUSDT,2024-06-30 02:00:00,0.7803,0.7808,0.7728,0.7775,1215215.9
SUIUSDT,2024-06-30 03:00:00,0.7777,0.7857,0.7777,0.7819,665369.4
SUIUSDT,2024-06-30 04:00:00,0.7819,0.7834,0.7779,0.7794,580957.8
SUIUSDT,2024-06-30 05:00:00,0.7794,0.7805,0.7762,0.7792,371690.0
SUIUSDT,2024-06-30 06:00:00,0.7792,0.7843,0.7781,0.7841,452571.9
SUIUSDT,2024-06-30 07:00:00,0.7842,0.7998,0.784,0.7975,1307710.5
SUIUSDT,2024-06-30 08:00:00,0.7978,0.8057,0.7974,0.8008,1163562.3
SUIUSDT,2024-06-30 09:00:00,0.8007,0.8023,0.7984,0.799,399660.0
SUIUSDT,2024-06-30 10:00:00,0.7992,0.8023,0.7967,0.7975,347927.6
SUIUSDT,2024-06-30 11:00:00,0.7977,0.8024,0.7969,0.7999,333190.8
SUIUSDT,2024-06-30 12:00:00,0.7999,0.8018,0.7931,0.7945,560770.2
SUIUSDT,2024-06-30 13:00:00,0.7945,0.8059,0.7942,0.8054,594554.0
SUIUSDT,2024-06-30 14:00:00,0.8053,0.8063,0.8015,0.8038,661772.2
SUIUSDT,2024-06-30 15:00:00,0.8038,0.8077,0.8031,0.8037,707714.4
SUIUSDT,2024-06-30 16:00:00,0.8039,0.8047,0.8007,0.8011,338198.4
SUIUSDT,2024-06-30 17:00:00,0.8012,0.8095,0.8007,0.8052,600934.7
SUIUSDT,2024-06-30 18:00:00,0.8049,0.8092,0.8012,0.8079,324034.9
SUIUSDT,2024-06-30 19:00:00,0.8079,0.8094,0.805,0.8079,220462.9
SUIUSDT,2024-06-30 20:00:00,0.808,0.8106,0.808,0.809,445192.8
SUIUSDT,2024-06-30 21:00:00,0.8091,0.8101,0.8057,0.8078,676281.7
SUIUSDT,2024-06-30 22:00:00,0.808,0.8237,0.8079,0.8219,798630.4
SUIUSDT,2024-06-30 23:00:00,0.8219,0.825,0.8191,0.8201,762780.6
SUIUSDT,2024-07-01 00:00:00,0.82,0.8228,0.817,0.82,544219.8
SUIUSDT,2024-07-01 01:00:00,0.82,0.8357,0.8183,0.8319,2081415.2
SUIUSDT,2024-07-01 02:00:00,0.8317,0.8339,0.8263,0.8289,648112.3
SUIUSDT,2024-07-01 03:00:00,0.8291,0.8302,0.8247,0.8276,241456.6
SUIUSDT,2024-07-01 04:00:00,0.8276,0.8293,0.8238,0.8272,327216.4
SUIUSDT,2024-07-01 05:00:00,0.8272,0.8288,0.8257,0.828,310065.8
SUIUSDT,2024-07-01 06:00:00,0.828,0.8287,0.8237,0.8282,675375.5
SUIUSDT,2024-07-01 07:00:00,0.828,0.8326,0.8259,0.8265,270614.6
SUIUSDT,2024-07-01 08:00:00,0.8266,0.8273,0.8187,0.8223,606136.1
SUIUSDT,2024-07-01 09:00:00,0.8223,0.824,0.819,0.8229,319917.5
SUIUSDT,2024-07-01 10:00:00,0.8229,0.8229,0.8167,0.8191,681791.4
SUIUSDT,2024-07-01 11:00:00,0.819,0.8197,0.811,0.813,476347.2
SUIUSDT,2024-07-01 12:00:00,0.8131,0.8183,0.8129,0.8157,361363.4
SUIUSDT,2024-07-01 13:00:00,0.8157,0.819,0.8079,0.8108,578225.6
SUIUSDT,2024-07-01 14:00:00,0.8107,0.8122,0.8056,0.8107,1014454.4
SUIUSDT,2024-07-01 15:00:00,0.8106,0.8144,0.8077,0.8123,452697.5
SUIUSDT,2024-07-01 16:00:00,0.8126,0.816,0.8098,0.8131,526938.5
SUIUSDT,2024-07-01 17:00:00,0.8129,0.8233,0.8124,0.8225,560308.9
SUIUSDT,2024-07-01 18:00:00,0.8228,0.8268,0.8202,0.8239,318248.6
SUIUSDT,2024-07-01 19:00:00,0.8239,0.8267,0.8221,0.8267,330780.9
SUIUSDT,2024-07-01 20:00:00,0.8261,0.8282,0.8209,0.8213,289681.9
SUIUSDT,2024-07-01 21:00:00,0.8212,0.8228,0.8166,0.8179,289171.4
SUIUSDT,2024-07-01 22:00:00,0.8179,0.8179,0.8072,0.8113,543662.2
SUIUSDT,2024-07-01 23:00:00,0.8111,0.8125,0.8067,0.8092,257128.3
SUIUSDT,2024-07-02 00:00:00,0.8092,0.8127,0.8045,0.81,742482.1
SUIUSDT,2024-07-02 01:00:00,0.8102,0.8119,0.8052,0.8054,420594.2
SUIUSDT,2024-07-02 02:00:00,0.8054,0.8066,0.7997,0.8063,558476.8
SUIUSDT,2024-07-02 03:00:00,0.8066,0.814,0.8049,0.8098,419291.2
SUIUSDT,2024-07-02 04:00:00,0.8098,0.815,0.8094,0.8134,312589.3
SUIUSDT,2024-07-02 05:00:00,0.8134,0.8203,0.8133,0.8193,372158.4
SUIUSDT,2024-07-02 06:00:00,0.8193,0.8206,0.8143,0.8152,392667.4
SUIUSDT,2024-07-02 07:00:00,0.815,0.8167,0.8099,0.8107,306170.2
SUIUSDT,2024-07-02 08:00:00,0.8108,0.8138,0.8081,0.8119,360165.9
SUIUSDT,2024-07-02 09:00:00,0.8122,0.8169,0.8122,0.8152,283871.3
SUIUSDT,2024-07-02 10:00:00,0.815,0.8199,0.8144,0.8182,327551.6
SUIUSDT,2024-07-02 11:00:00,0.8182,0.8197,0.8165,0.8193,301107.2
SUIUSDT,2024-07-02 12:00:00,0.8193,0.8285,0.8183,0.8266,608176.6
SUIUSDT,2024-07-02 13:00:00,0.8266,0.837,0.8217,0.8249,1230340.2
SUIUSDT,2024-07-02 14:00:00,0.8251,0.8299,0.817,0.8199,868147.5
SUIUSDT,2024-07-02 15:00:00,0.8198,0.8228,0.8108,0.8143,1486623.1
SUIUSDT,2024-07-02 16:00:00,0.8141,0.8144,0.8084,0.8121,416227.2
SUIUSDT,2024-07-02 17:00:00,0.8121,0.8122,0.8043,0.81,527467.5
SUIUSDT,2024-07-02 18:00:00,0.81,0.8274,0.81,0.8255,766068.1
SUIUSDT,2024-07-02 19:00:00,0.8253,0.83,0.824,0.8273,462876.3
SUIUSDT,2024-07-02 20:00:00,0.8275,0.8286,0.8214,0.8222,306874.0
SUIUSDT,2024-07-02 21:00:00,0.8222,0.8274,0.8203,0.8256,324822.4
SUIUSDT,2024-07-02 22:00:00,0.8256,0.8285,0.8219,0.8269,367810.7
SUIUSDT,2024-07-02 23:00:00,0.8266,0.8285,0.8228,0.8254,539588.5
SUIUSDT,2024-07-03 00:00:00,0.8256,0.83,0.8242,0.8246,278446.7
SUIUSDT,2024-07-03 01:00:00,0.8242,0.825,0.8149,0.8176,699500.6
SUIUSDT,2024-07-03 02:00:00,0.8174,0.8174,0.8065,0.809,657032.2
SUIUSDT,2024-07-03 03:00:00,0.809,0.809,0.7918,0.803,1806586.3
SUIUSDT,2024-07-03 04:00:00,0.8024,0.8024,0.7952,0.7993,782728.6
SUIUSDT,2024-07-03 05:00:00,0.7991,0.808,0.7984,0.8077,356271.6
SUIUSDT,2024-07-03 06:00:00,0.8077,0.8186,0.8073,0.8179,1129027.6
SUIUSDT,2024-07-03 07:00:00,0.8179,0.8198,0.8109,0.813,844086.3
SUIUSDT,2024-07-03 08:00:00,0.8129,0.8225,0.8114,0.8152,787582.7
SUIUSDT,2024-07-03 09:00:00,0.8153,0.8211,0.8111,0.8123,684102.6
SUIUSDT,2024-07-03 10:00:00,0.8121,0.8131,0.7953,0.8114,1677089.1
SUIUSDT,2024-07-03 11:00:00,0.811,0.8113,0.7972,0.8049,798057.4
SUIUSDT,2024-07-03 12:00:00,0.8051,0.8051,0.7836,0.7879,1373028.0
SUIUSDT,2024-07-03 13:00:00,0.7877,0.8078,0.7841,0.8063,1012161.1
SUIUSDT,2024-07-03 14:00:00,0.8064,0.8073,0.7943,0.7943,546754.1
SUIUSDT,2024-07-03 15:00:00,0.7944,0.7944,0.7877,0.7924,564463.8
SUIUSDT,2024-07-03 16:00:00,0.7917,0.7967,0.7867,0.793,631148.0
SUIUSDT,2024-07-03 17:00:00,0.7931,0.7939,0.7784,0.7812,713779.1
SUIUSDT,2024-07-03 18:00:00,0.7811,0.7885,0.7757,0.7808,1191562.6
SUIUSDT,2024-07-03 19:00:00,0.7806,0.781,0.7673,0.7744,1392214.6
SUIUSDT,2024-07-03 20:00:00,0.7742,0.7759,0.7698,0.7711,574002.9
SUIUSDT,2024-07-03 21:00:00,0.7711,0.7822,0.7705,0.7805,636496.8
SUIUSDT,2024-07-03 22:00:00,0.7804,0.7806,0.7713,0.774,352308.4
SUIUSDT,2024-07-03 23:00:00,0.7739,0.7773,0.77,0.776,267206.6
SUIUSDT,2024-07-04 00:00:00,0.7761,0.7835,0.7728,0.7738,961113.2
SUIUSDT,2024-07-04 01:00:00,0.7737,0.7753,0.7324,0.7414,6087568.4
SUIUSDT,2024-07-04 02:00:00,0.7413,0.7493,0.7284,0.7481,2548631.0
SUIUSDT,2024-07-04 03:00:00,0.7481,0.7518,0.7448,0.7512,567699.1
